x,y,RSSI_Sensor_1,RSSI_Sensor_2,RSSI_Sensor_3,RSSI_Sensor_4,Avg_RSSI
0.0,3.0,-54.31363764158987,-40.0,-58.45673382067411,-60.96910013008056,-53.43486789808614
0.0,2.0,-49.03089986991944,-49.03089986991944,-59.51544993495972,-59.51544993495972,-54.27317490243958
1.0,0.0,-40.0,-58.45673382067411,-60.96910013008056,-54.31363764158987,-53.43486789808614
2.0,0.0,-49.03089986991944,-59.51544993495972,-59.51544993495972,-49.03089986991944,-54.27317490243958
3.0,0.0,-54.31363764158987,-60.96910013008056,-58.45673382067411,-40.0,-53.43486789808614
4.0,1.0,-58.45673382067411,-60.96910013008056,-54.31363764158987,-40.0,-53.43486789808614
4.0,2.0,-59.51544993495972,-59.51544993495972,-49.03089986991944,-49.03089986991944,-54.27317490243958
1.0,4.0,-58.45673382067411,-40.0,-54.31363764158987,-60.96910013008056,-53.43486789808614
3.0,3.5,-59.91038401579495,-54.49212599108549,-41.453650195120844,-56.8332381740924,-53.17234959402342
3.0,3.5,-59.91038401579495,-54.49212599108549,-41.453650195120844,-56.8332381740924,-53.17234959402342
1.5,3.0,-55.76728783671072,-47.67825041468311,-52.905070098564906,-57.749047655242066,-53.5249140013002
2.0,3.0,-56.70915028460255,-50.48455006504028,-50.48455006504028,-56.70915028460255,-53.59685017482141
1.5,2.0,-51.938200260161125,-51.938200260161125,-55.1608579808766,-55.1608579808766,-53.549529120518855
3.0,3.5,-59.91038401579495,-54.49212599108549,-41.453650195120844,-56.8332381740924,-53.17234959402342
2.0,1.0,-50.48455006504028,-56.70915028460255,-56.70915028460255,-50.48455006504028,-53.59685017482141
2.5,1.5,-53.94128388571439,-56.453650195120844,-53.94128388571439,-49.79818770663015,-53.53360141829495
